datetime,available_list,long_list,short_list
2023-08-23 06:45:12.587296,['XTZ'],[],"['ASTR', 'BTC', 'ETH', 'QTUM', 'XYM']"
datetime,available_list,long_list,short_list
2023-08-23 06:50:12.880533,['XTZ'],[],['XLM']
datetime,available_list,long_list,short_list
2023-08-23 06:55:11.308353,['XTZ'],[],"['ADA', 'ASTR', 'ETH', 'XLM', 'XRP', 'XYM']"
datetime,available_list,long_list,short_list
2023-08-23 07:00:10.870408,['XTZ'],[],"['ASTR', 'BCH', 'BTC', 'ETH', 'XRP', 'XYM']"
datetime,available_list,long_list,short_list
2023-08-23 07:05:10.898669,['XTZ'],[],"['ASTR', 'BTC', 'ENJ', 'ETH', 'XEM', 'XRP']"
datetime,available_list,long_list,short_list
2023-08-23 07:10:12.542533,['XTZ'],[],"['ADA', 'ASTR', 'BTC', 'ETH', 'XEM', 'XYM']"
datetime,available_list,long_list,short_list
2023-08-23 07:15:11.233153,['XTZ'],[],"['ASTR', 'BTC', 'MONA', 'XLM']"
datetime,available_list,long_list,short_list
2023-08-23 07:20:12.495937,['XTZ'],[],"['ASTR', 'ATOM', 'BTC', 'ETH', 'XRP', 'XYM']"
datetime,available_list,long_list,short_list
2023-08-23 07:25:13.720192,['XTZ'],[],"['ADA', 'ASTR', 'BTC', 'ETH', 'LTC', 'XRP']"
datetime,available_list,long_list,short_list
2023-08-23 07:30:14.540646,['XTZ'],[],"['ASTR', 'BTC', 'ETH', 'XRP', 'XYM']"
datetime,available_list,long_list,short_list
2023-08-23 07:35:14.067606,['XTZ'],[],"['ASTR', 'BTC', 'ETH', 'LTC', 'XRP']"
datetime,available_list,long_list,short_list
2023-08-23 07:40:15.915366,['XTZ'],[],"['ASTR', 'DOT', 'ETH', 'LTC', 'XRP']"
datetime,available_list,long_list,short_list
2023-08-23 07:45:13.770779,['XTZ'],"['ETH', 'XLM']","['ADA', 'ASTR', 'BTC', 'DOT', 'LTC', 'XEM']"
datetime,available_list,long_list,short_list
2023-08-23 07:50:13.319919,['XTZ'],[],"['ASTR', 'BCH', 'BTC', 'ETH', 'LTC', 'XYM']"
datetime,available_list,long_list,short_list
2023-08-23 07:55:13.609290,['XTZ'],[],"['ASTR', 'BTC', 'DOT', 'ETH', 'FCR', 'XRP']"
datetime,available_list,long_list,short_list
2023-08-23 08:00:13.191976,['XTZ'],[],"['ADA', 'BTC']"
datetime,available_list,long_list,short_list
2023-08-23 08:05:15.464843,"['XRP', 'XTZ']",[],['XRP']
datetime,available_list,long_list,short_list
2023-08-23 08:10:12.690549,['XTZ'],[],['ETH']
datetime,available_list,long_list,short_list
2023-08-23 08:15:12.922363,['XTZ'],[],['ASTR']
datetime,available_list,long_list,short_list
2023-08-23 08:20:13.031782,['XTZ'],[],"['ASTR', 'BTC', 'DOT', 'FCR', 'XLM', 'XYM']"
datetime,available_list,long_list,short_list
2023-08-23 08:25:12.666212,['XTZ'],[],"['ASTR', 'BTC', 'DOT', 'XRP']"
datetime,available_list,long_list,short_list
2023-08-23 08:30:13.838074,['XTZ'],"['FCR', 'LTC']","['ASTR', 'ATOM', 'BTC', 'ETH', 'XLM', 'XYM']"
datetime,available_list,long_list,short_list
2023-08-23 08:35:13.685729,['XTZ'],[],"['ASTR', 'BTC', 'ETH', 'XEM', 'XRP', 'XYM']"
datetime,available_list,long_list,short_list
2023-08-23 08:40:13.173095,['XTZ'],[],"['ASTR', 'BTC', 'ETH', 'XEM', 'XRP', 'XYM']"
datetime,available_list,long_list,short_list
2023-08-23 08:45:14.902038,['XTZ'],[],"['ASTR', 'BTC', 'ENJ', 'ETH', 'XYM']"
datetime,available_list,long_list,short_list
2023-08-23 08:50:12.686077,['XTZ'],[],"['ASTR', 'BTC', 'ETH', 'XLM', 'XRP']"
datetime,available_list,long_list,short_list
2023-08-23 08:55:11.977519,['XTZ'],[],"['ASTR', 'BTC', 'ETH', 'XRP']"
datetime,available_list,long_list,short_list
2023-08-23 09:00:12.603195,['XTZ'],[],['XRP']
datetime,available_list,long_list,short_list
2023-08-23 09:05:16.497634,['XTZ'],[],"['ASTR', 'BTC', 'DOT', 'ETH', 'XLM', 'XRP']"
datetime,available_list,long_list,short_list
2023-08-23 09:10:20.317168,['XTZ'],[],"['ASTR', 'BTC', 'MKR', 'XEM', 'XRP', 'XYM']"
datetime,available_list,long_list,short_list
2023-08-23 09:15:14.064064,['XTZ'],[],"['ASTR', 'BTC', 'LTC', 'MKR', 'XLM', 'XRP']"
datetime,available_list,long_list,short_list
2023-08-23 09:20:14.544635,['XTZ'],[],"['XRP', 'XYM']"
datetime,available_list,long_list,short_list
2023-08-23 09:25:16.099762,['XTZ'],['LTC'],"['ASTR', 'BAT', 'BCH', 'XLM', 'XRP', 'XYM']"
datetime,available_list,long_list,short_list
2023-08-23 09:30:14.204296,['XTZ'],[],"['ASTR', 'BTC', 'ETH', 'XLM', 'XRP', 'XYM']"
datetime,available_list,long_list,short_list
2023-08-23 09:35:17.295543,['XTZ'],[],"['XRP', 'XYM']"
datetime,available_list,long_list,short_list
2023-08-23 09:40:14.967765,['XTZ'],[],"['ADA', 'BTC', 'DOT', 'ENJ', 'LTC', 'XRP']"
datetime,available_list,long_list,short_list
2023-08-23 09:45:13.918595,['XTZ'],[],['XRP']
datetime,available_list,long_list,short_list
2023-08-23 09:50:14.253699,['XTZ'],[],['DOT']
datetime,available_list,long_list,short_list
2023-08-23 09:55:14.639908,['XTZ'],[],"['ASTR', 'XYM']"
datetime,available_list,long_list,short_list
2023-08-23 10:00:13.286179,['XTZ'],[],"['ASTR', 'BTC', 'DOT', 'MKR', 'XRP', 'XYM']"
datetime,available_list,long_list,short_list
2023-08-23 10:05:12.552746,['XTZ'],[],"['ASTR', 'BTC', 'ETH', 'LTC', 'XRP', 'XYM']"
datetime,available_list,long_list,short_list
2023-08-23 10:10:16.260351,['XTZ'],[],"['ASTR', 'BCH', 'BTC', 'LTC', 'XLM', 'XRP']"
datetime,available_list,long_list,short_list
2023-08-23 10:15:12.627747,['XTZ'],[],"['ADA', 'ASTR', 'BCH', 'BTC', 'FCR', 'XRP']"
datetime,available_list,long_list,short_list
2023-08-23 10:20:14.271012,['XTZ'],[],"['BCH', 'BTC', 'LTC', 'MKR', 'XRP', 'XYM']"
datetime,available_list,long_list,short_list
2023-08-23 10:25:13.008243,['XTZ'],[],"['BTC', 'DAI', 'ETH', 'LTC', 'XEM', 'XRP']"
datetime,available_list,long_list,short_list
2023-08-23 10:30:13.328886,['XTZ'],[],"['ASTR', 'BTC', 'MKR', 'XRP']"
datetime,available_list,long_list,short_list
2023-08-23 10:35:15.284995,['XTZ'],[],"['ASTR', 'ATOM', 'BTC', 'XEM', 'XLM', 'XRP']"
datetime,available_list,long_list,short_list
